Supplementary Table S6: gene expression profile (FPKM) of mouse across 17 tissues																																																																						
gene_id	gene_short_name	gene_type	mAg_F_815	mAg_F_831	mAg_M_783	mAg_M_799	mBr_F_812	mBr_F_828	mBr_F_848	mBr_F_850	mBr_M_780	mBr_M_796	mBr_M_844	mBr_M_846	mFs_F_823	mFs_F_839	mFs_M_791	mFs_M_807	mHe_F_818	mHe_F_834	mHe_M_786	mHe_M_802	mKi_F_814	mKi_F_830	mKi_M_782	mKi_M_798	mLi_F_813	mLi_F_829	mLi_F_849	mLi_F_851	mLi_M_781	mLi_M_797	mLi_M_845	mLi_M_847	mLin_F_825	mLin_F_841	mLin_M_793	mLin_M_809	mLu_F_817	mLu_F_833	mLu_M_785	mLu_M_801	mMu_F_826	mMu_F_842	mMu_M_794	mMu_M_810	mOv_F_820	mOv_F_836	mSin_F_824	mSin_F_840	mSin_M_792	mSin_M_808	mSp_F_816	mSp_F_832	mSp_M_784	mSp_M_800	mSt_F_822	mSt_F_838	mSt_M_790	mSt_M_806	mTe_M_788	mTe_M_804	mTh_F_819	mTh_F_835	mTh_M_787	mTh_M_803	mUt_F_827	mUt_F_843	mVg_M_795	mVg_M_811
ENSMUSG00000024041	Cryaa	protein_coding	0	0	0.1226	0.1302	0.1614	0	0	0.1302	0	0	0	0.1239	0	0	0.1383	0	0	0	0	0	0.5861	0.3498	0.7142	1.0267	0	0	0	0	0	0	0	0	0	0	0	0	0.2608	0.2671	1.3609	1.0631	0	0	0	0	0	0	0	0	0	0	0.5193	0.2443	0.3571	0.2415	0	0	0	0	0.1476	0	0	0.5743	0.886	0.1226	0	0	0	0
ENSMUSG00000024042	Sik1	protein_coding	1.3043	5.0371	3.1538	2.2944	2.8529	3.4038	1.8041	3.1221	3.0385	3.4337	3.7073	2.4431	12.651	9.0091	8.9499	10.2213	3.152	3.6692	3.2029	3.8324	13.0181	12.9778	11.4607	15.1293	1.9372	1.559	1.4257	1.6714	0.8861	2.3446	0.6295	3.0672	1.0843	1.264	1.3226	1.0856	15.2519	18.4465	13.8551	13.4722	3.5313	2.0181	2.6974	3.6045	3.9255	6.9356	2.5566	2.5899	1.9412	1.9322	11.8074	16.2351	16.6423	11.4165	9.5984	7.1129	7.3619	7.5623	4.4998	3.7389	5.1255	5.9852	6.4606	6.5976	2.3351	3.9513	1.4075	2.3565
ENSMUSG00000024043	Arhgap28	protein_coding	11.8873	7.2162	5.1973	7.4673	0.0859	0.1991	0.1201	0.3769	0.181	0.2026	0.3209	0.2399	1.4668	2.3739	2.2712	2.0644	0.5824	0.9305	1.2142	1.3784	2.1268	1.8338	1.3691	1.8014	0.1461	0.1392	0.122	0.1578	0.0673	0.0575	0.249	0.1972	1.1506	1.6048	1.7087	1.9501	3.5234	3.8495	3.249	3.2477	0.7405	0.3401	0.7783	0.6655	26.3993	30.1775	0.5052	0.5778	0.6925	0.5259	1.4638	1.3305	1.7042	1.0039	2.4607	1.9741	2.3322	1.7295	1.0978	1.2637	0.2983	0.3726	0.6772	0.582	5.2379	6.7563	5.9303	7.261
ENSMUSG00000024044	Epb4.1l3	protein_coding	3.8646	4.3945	5.5176	4.0082	53.9134	45.003	43.091	39.2811	49.1571	41.8946	46.3849	42.2933	1.4328	3.6313	2.1019	1.6078	1.4012	2.0644	2.0811	3.0671	17.118	17.8489	12.247	12.0495	0.6104	0.425	0.574	0.4975	0.4203	0.5189	0.3681	0.3817	11.6749	16.7899	17.5409	17.5392	3.6568	4.1748	3.8902	4.7016	1.664	0.6631	1.4682	1.1083	5.3214	4.3076	108.251	111.107	101.96	126.53	10.3376	11.8792	8.6617	8.6764	2.694	0.9638	1.4714	1.76	12.8912	13.7697	6.7565	6.9864	6.797	6.8755	3.8383	13.0021	1.2613	1.7875
ENSMUSG00000024045	Akap8	protein_coding	29.7719	29.9808	39.5823	37.842	27.8717	25.9842	22.3703	23.5409	23.7342	25.7507	25.9546	26.6101	20.0204	17.0987	19.2788	20.8266	15.0664	14.1916	13.5496	15.3538	18.2032	18.2886	17.1491	19.8366	13.8547	10.548	11.484	11.6385	9.511	12.1903	9.4594	11.3653	13.8741	25.6907	21.5191	25.1057	39.142	30.725	35.8507	33.6759	16.1609	12.6108	14.4051	10.6704	39.7091	44.4747	17.8933	18.9641	13.3004	12.1122	57.6091	54.4262	57.6324	51.0801	15.0872	13.4683	15.3341	14.5211	29.9981	26.5882	60.7367	63.424	61.0891	60.2144	27.0938	44.3931	14.319	18.3738
ENSMUSG00000024048	Myl12a	protein_coding	124.299	122.02	137.258	153.801	16.5222	17.892	13.7608	13.6369	13.6793	17.754	19.1334	15.829	142.536	111.861	106.545	131.583	377.241	401.033	391.495	300.774	106.937	98.375	93.2016	100.811	36.9369	34.388	37.4117	37.477	32.9419	45.3765	36.0239	40.8881	86.524	112.994	126.215	107.545	423.253	424.271	366.595	455.383	182.489	153.929	96.0405	168.258	224.283	268.934	115.053	94.2068	82.6236	80.168	183.425	176.274	187.056	138.962	96.2255	81.2072	106.255	83.7568	38.6835	38.9153	175.612	161.583	164.911	168.76	230.446	218.656	63.5927	72.7582
ENSMUSG00000024049	Myom1	protein_coding	0.4669	0.472	0.5367	0.5183	0.5047	0.6304	0.3169	0.474	0.6557	0.3982	0.5651	0.693	35.4585	16.5036	22.321	27.4885	146.543	144.74	125.432	116.007	0.4532	0.3292	0.4812	0.5889	0.2306	0.1918	0.1033	0.3045	0.1628	0.2178	0.1874	0.2034	8.1481	10.9052	11.2203	8.5479	2.0031	3.7324	2.8423	2.0305	132.781	176.93	110.075	175.001	10.574	7.7462	3.2646	3.06	2.2286	1.1945	3.3604	3.5525	3.4334	2.504	7.6757	6.0076	5.2888	3.9945	0.4886	1.0377	0.7529	0.7206	0.9357	0.7733	17.1303	16.9647	2.5303	3.4023
ENSMUSG00000024050	Wiz	protein_coding	9.9617	10.6908	10.2105	11.4718	8.2719	11.5538	8.8899	10.4637	11.0217	10.4991	10.3442	8.9437	13.8387	10.4853	9.6438	11.31	4.075	3.6072	4.182	4.6756	6.6252	5.6827	6.6623	6.9115	2.8591	2.5331	2.11	2.2143	2.6605	2.7856	2.5476	2.9867	5.0483	7.6102	8.2331	7.9633	11.6702	11.5957	11.8815	10.3367	4.594	4.311	3.9987	3.4942	19.4218	19.7734	9.2189	9.8982	7.6621	6.758	11.094	11.4424	11.7427	9.672	6.9792	7.7638	7.8707	6.3807	11.2601	11.6661	16.2332	14.24	15.3728	13.0463	10.4376	19.2801	5.4317	6.9794
ENSMUSG00000024052	Lpin2	protein_coding	15.0316	12.7733	14.4621	15.9051	25.4284	23.9791	21.9116	27.0071	24.7795	18.6769	20.3834	24.2791	17.596	10.9599	13.4356	17.2922	2.6638	4.7415	2.5498	3.2785	16.1658	16.0635	17.376	14.3298	32.0034	23.0942	30.9827	26.916	71.8527	59.6394	72.1355	49.4234	13.2276	6.0175	4.3826	5.6351	83.3114	54.0074	68.5395	73.1704	2.2662	1.0377	1.2609	2.2666	17.1513	22.1813	30.1662	18.7821	29.4814	22.7188	20.6254	21.699	24.7761	34.7428	5.8373	4.0408	4.8322	4.6945	14.2988	16.3798	15.9283	14.1551	13.8569	13.0642	6.7852	11.1493	3.004	4.4339
ENSMUSG00000024053	Emilin2	protein_coding	2.8003	2.2483	1.92	2.9609	1.3036	0.8344	0.9684	0.578	1.2921	0.7321	0.6546	0.857	1.6771	1.1887	2.0028	2.1757	7.4157	7.7741	7.561	9.5381	0.2554	0	0.4064	0.6836	0.2559	0.5569	0.6401	0.5791	0.201	0.3501	0.3009	0.3077	0.6793	1.0378	0.7638	1.2017	2.2154	1.4633	2.103	1.2493	10.663	1.6331	2.4896	4.8378	7.5407	6.9589	0.1194	0.2339	0.2955	0.0973	4.0777	2.9944	6.5556	16.0214	2.1414	1.3523	0.8506	0.8013	3.3981	3.3174	1.0556	1.0167	0.6338	0.7931	12.3744	8.9272	0.3858	0.6294
ENSMUSG00000024054	Smchd1	protein_coding	19.3909	16.99	21.4563	21.9063	10.1514	11.4372	9.996	9.6844	10.2763	11.3421	11.1167	9.8073	12.6203	9.7654	9.7648	11.4784	7.6857	5.8718	9.8747	9.5451	8.7663	8.6446	7.4269	10.5283	5.3137	4.8544	4.5434	3.902	3.8476	4.0373	2.7377	3.5835	7.9377	12.8134	17.0724	15.3354	18.0188	16.8675	16.9804	14.8768	5.9142	4.075	9.7888	4.6057	22.3489	21.4234	12.5252	13.9241	11.3542	10.1309	50.6652	54.1637	50.6823	48.6984	7.2816	9.2208	7.9508	8.402	18.9264	16.4059	46.4846	47.9523	48.9602	47.4463	20.4526	32.7129	7.8057	8.5991
ENSMUSG00000024055	Cyp4f13	protein_coding	15.2588	22.5962	23.4736	24.8879	4.1473	3.7921	5.0873	4.0235	4.5209	5.7602	4.5142	5.1058	9.0785	8.2401	8.0592	11.1493	3.6994	5.5643	5.1514	4.0539	13.1288	18.0884	14.6258	12.3703	24.8693	24.2479	28.1784	26.9235	28.3136	27.6256	27.0094	29.1027	14.9741	22.967	21.1362	24.5776	12.71	11.0514	14.5376	14.8665	7.6908	5.5287	9.673	5.173	16.4724	14.7567	30.5821	28.0666	27.5997	28.2303	15.4803	10.249	11.9839	8.2499	10.4288	9.1568	8.1252	8.8657	3.2708	4.3619	9.3201	7.6055	10.2049	8.6884	8.8086	9.3645	13.7367	6.7563
ENSMUSG00000024056	Ndc80	protein_coding	1.2911	0.9695	1.0433	1.6427	0.1677	0.0563	0	0.1982	0.3087	0.1046	0.165	0.0478	1.6573	1.3807	1.2531	2.2569	0.3112	0.2045	0.2924	0.6358	0.6953	0.4807	0.4099	0.8003	0.1888	0.0444	0.0497	0.0915	0.0452	0.1531	0.0987	0.2665	2.3615	2.3191	3.2514	3.5966	1.4386	0.8765	1.7653	2.3923	0.3286	0.0402	0.5277	0.3865	4.671	4.8851	4.3302	3.6415	4.0699	2.6265	7.937	6.6717	8.7656	17.264	1.1793	0.7752	1.8857	1.29	17.9518	19.5277	27.3189	32.2611	22.5773	29.3212	5.4249	10.1729	0.5199	0.3657
ENSMUSG00000024059	Clip4	protein_coding	1.8463	2.4514	3.1554	3.4828	10.1018	9.2372	10.3161	11.0505	12.7036	16.9208	16.0555	11.4981	21.6755	7.1931	9.8823	17.2508	33.4154	40.1886	35.4372	38.2307	1.8469	1.2736	3.9047	1.9077	0.0698	0.0639	0.0702	0.0648	0.1582	0.1043	0.0338	0.0936	1.5292	2.3589	1.7678	1.5965	12.1551	10.3564	11.6906	8.9123	32.528	26.7642	13.1315	27.5565	5.4603	5.6046	0.5982	0.5854	0.2349	0.117	0.1042	0.2969	0.1985	0.1349	3.1588	1.6455	0.5921	0.9873	53.7118	39.9485	6.9145	7.538	6.8786	5.0848	0.8946	1.9962	0.2055	0.6097
ENSMUSG00000024063	Lbh	protein_coding	14.1212	15.5192	15.1985	19.2274	16.4571	17.995	15.8916	14.0509	16.925	16.2301	16.5389	15.2777	12.5658	48.0905	28.7926	19.4363	133.382	158.334	113.393	93.7142	15.3711	15.3337	15.6027	16.224	2.5388	2.6845	3.1188	3.4277	2.461	2.4272	2.0295	2.9306	34.418	24.8148	24.3486	27.8147	47.2192	81.6759	44.475	47.3489	5.5354	2.6828	4.2633	3.9479	44.2181	57.9008	23.423	21.1091	14.5666	11.6979	145.92	159.697	136.919	97.1837	83.0659	53.3806	72.1708	38.0675	1.1641	2.4186	82.0144	81.5323	86.6138	82.4291	18.2207	30.2975	2.2679	3.2802
ENSMUSG00000024064	Galnt14	protein_coding	0.6284	0.3687	1.3909	0.5873	6.5301	9.5446	7.9176	8.6121	8.5994	7.0044	7.1456	7.005	0	0	0	0	0	0	0.0258	0.0517	23.7734	19.7832	20.164	18.6648	0	0.0741	0.118	0.0718	0.0737	0.0674	0	0	0.149	0.214	0.0338	0.191	0.0413	0.1077	0.0668	0.1018	0.0866	0	0	0	0.1293	0.1162	0	0	0	0	0.3729	0.3897	0.1941	0.1456	0	0	0	0	0.7977	0.9866	0.2976	0.2935	0.4953	0.3818	0.6487	0.3294	0	0.078
ENSMUSG00000024065	Ehd3	protein_coding	33.917	31.2235	34.1138	45.123	26.3861	27.4658	22.3207	26.6475	26.8826	17.3456	17.9414	25.3099	3.4986	2.7306	2.489	3.5383	0.9354	0.6507	1.2191	1.7588	12.8133	7.6932	12.7788	13.2863	14.9307	14.433	17.8442	16.939	13.5558	12.6054	15.6811	15.9982	1.4813	2.0318	1.3588	1.3554	3.7036	5.1667	2.7635	4.7959	0.8762	0.8281	1.1359	1.3106	6.7088	6.6092	1.1583	1.4102	0.7484	0.5107	10.0871	10.7213	9.6922	8.1964	1.4027	1.3103	1.2255	1.1966	1.1544	0.6449	9.3396	7.1857	7.4822	9.1246	1.2394	1.4734	0.7945	0.7362
ENSMUSG00000024066	Xdh	protein_coding	95.4773	94.9703	46.318	52.1889	0.8782	0.9011	0.7059	0.869	0.4617	0.9104	0.6414	1.1901	84.1227	24.0454	31.6617	62.474	20.0801	16.4359	16.3522	21.0154	11.101	7.4398	8.6166	10.1315	26.5127	25.4571	24.1311	31.0693	18.2453	26.4564	18.648	25.3104	11.5938	15.2695	12.7189	16.4605	76.0786	64.1616	44.6177	65.2135	15.4891	7.8227	9.8317	8.6496	11.2909	8.5271	97.6714	67.163	111.46	116.366	11.7481	11.7633	12.1881	7.3576	8.5814	7.4614	4.1888	6.8289	1.155	1.347	6.1971	5.5426	6.2859	5.316	29.9495	4.1045	1.8712	1.9901
ENSMUSG00000024067	Dpy30	protein_coding	52.5723	43.37	47.0675	44.8797	20.9139	19.5261	25.4831	19.1206	23.8695	18.5379	22.8144	19.2072	41.1354	31.8773	37.6505	40.0166	16.5143	17.6256	20.1109	15.2474	37.9722	34.8857	32.4926	32.4643	18.6605	16.1077	18.3677	13.5028	15.8962	17.721	16.8011	14.2897	38.988	51.4526	55.1079	47.9659	39.8228	38.911	49.6942	45.126	25.949	24.3376	34.9596	25.0683	47.827	43.0775	36.7192	51.7922	33.5689	33.5326	39.2789	40.6611	37.5032	44.3246	37.5627	31.9337	31.1856	28.7898	120.792	106.14	51.1006	62.4119	51.2161	54.1641	42.9684	58.9138	24.4692	25.2491
ENSMUSG00000024068	Spast	protein_coding	10.1434	9.0614	10.8377	9.0886	18.6858	18.017	18.7955	19.0806	18.6307	15.1073	16.6652	17.3201	13.1814	9.122	10.8616	12.1807	7.3912	7.5832	7.2503	7.6862	5.4698	5.6276	7.1048	5.0237	9.4281	8.4114	9.2123	8.2695	7.2311	7.7712	7.1845	7.4398	6.8289	8.261	9.9671	9.0964	8.9146	8.0238	8.5131	8.9839	13.692	17.409	12.6442	16.2182	12.9791	15.1559	8.3291	8.9787	8.8333	8.3535	12.1147	13.5756	12.724	12.5213	7.5219	7.3458	7.5306	7.2447	29.6852	27.2684	20.8051	22.1806	22.6677	21.4477	11.8868	14.3885	7.1249	7.5121
ENSMUSG00000024069	Slc30a6	protein_coding	17.1938	18.4009	18.2763	16.8237	5.6024	5.8205	4.9744	5.9721	5.6978	6.4236	5.5053	7.4614	9.6451	10.5556	12.3229	10.2733	4.7717	5.3222	5.386	5.89	9.4702	11.1871	10.3128	9.0719	6.6224	6.9038	5.7115	6.6377	5.3698	6.561	6.3485	7.4264	9.3359	12.0773	15.8051	14.3337	9.6077	8.3114	11.6768	10.0082	6.9137	5.866	6.7344	6.3166	9.3324	12.8945	13.813	15.3257	13.9394	16.3409	8.6285	7.679	8.3049	8.8114	11.2026	8.9334	13.1283	10.7308	5.8376	5.9977	10.8684	10.0171	11.7539	11.628	9.985	11.9794	7.0763	9.1403
ENSMUSG00000024070	Prkd3	protein_coding	12.8474	17.8909	11.6115	11.9243	5.3887	5.5954	4.0596	4.0194	4.8493	4.7077	5.8842	4.8969	12.1242	9.5545	10.0414	13.8171	7.5374	9.0361	8.7349	9.4664	9.2393	7.6735	14.4454	13.3396	54.4567	58.9119	52.5461	62.6521	65.9992	61.3256	62.9583	56.3646	6.4594	8.2875	6.5911	7.488	23.556	28.2188	20.77	24.6292	6.5741	4.1466	4.4782	4.5672	27.5918	30.2741	4.5294	5.1184	2.8435	2.8564	18.1635	17.3841	19.1386	13.592	5.5914	5.4338	4.1864	3.7135	6.4079	7.2432	29.694	26.3226	27.452	28.623	29.949	30.5267	1.7274	3.2317
ENSMUSG00000024072	Yipf4	protein_coding	45.5192	43.5166	39.2963	43.6048	30.4929	30.4365	33.5187	29.3164	33.7047	29.8464	28.5892	29.0426	37.9737	31.6705	36.229	41.3174	28.3083	27.4807	28.0528	31.3213	40.8262	40.3564	40.9573	35.5114	19.6214	17.6899	16.2386	17.7545	19.4373	20.4796	17.331	19.7767	26.1154	37.7503	42.3634	38.7919	39.0334	44.4349	35.3696	42.0789	24.2514	19.8437	24.829	22.2614	42.8135	38.42	32.8968	28.798	34.3649	36.8075	29.5048	33.0085	41.1686	59.6543	31.8669	37.5491	42.5007	32.4128	36.8507	39.1902	38.6239	38.4431	43.9968	36.8186	32.8662	32.9015	35.9275	40.6484
ENSMUSG00000024073	Birc6	protein_coding	46.8484	41.4256	44.1293	44.9851	31.8612	40.6625	26.2261	33.4064	31.4737	31.0544	38.1298	35.5179	35.2378	27.6673	21.948	32.901	18.1084	26.1258	20.9629	24.9007	41.2702	33.3554	38.647	40.5567	23.004	21.2282	18.101	20.6696	18.0707	18.2794	17.1594	17.7021	28.223	40.5382	33.0767	34.9445	43.6061	34.7848	37.2419	45.3334	19.6933	19.2427	21.577	21.0919	51.1812	65.9011	36.4654	39.0544	29.3198	28.5289	84.3141	70.3945	79.836	62.5237	25.6931	19.249	20.8079	20.0136	23.3421	24.4915	97.9021	81.7307	100.054	108.788	38.0173	54.0045	25.0295	26.5817
ENSMUSG00000024074	Crim1	protein_coding	6.1299	7.7069	4.8183	6.112	13.561	13.6808	10.8213	14.1459	17.1648	8.5434	9.378	13.3532	6.6112	7.7076	7.5525	7.5441	5.8641	6.7443	8.0288	9.2584	15.4814	14.5307	12.1804	10.8299	1.8274	1.4131	1.7952	1.7001	1.4974	1.963	1.7688	2.2739	3.9841	7.6427	8.2244	7.7027	19.8419	30.369	18.6951	18.4002	5.582	4.764	4.981	4.9272	27.5123	33.0468	6.4965	4.9471	6.8642	5.4675	8.2434	7.9103	6.6443	4.9623	6.1096	5.7084	4.4386	5.6358	1.1076	1.4382	2.3384	2.829	2.7749	2.2922	3.6879	5.6046	1.3401	1.4986
ENSMUSG00000024076	Vit	protein_coding	1.1819	1.1576	2.0708	2.8209	1.4299	1.0676	1.4105	1.0049	1.7619	1.6904	1.1427	1.5425	1.1166	0.0637	0.3047	0.4607	0.6925	0.606	3.5741	4.8484	0.3292	0	0.2715	0.2525	0.0492	0.0444	0	0	0.0433	0	0	0	0.8212	1.2911	1.3079	1.7102	0.386	0.594	1.0849	0.5171	5.4003	1.0038	1.3998	1.7388	8.0426	4.9917	0.2416	0.5585	0.292	0.1242	0.0492	0	0.0462	0.095	0.4954	0.2899	0.4371	0.1716	7.0967	6.9246	0.5084	0.5565	0.6051	0.5011	3.3211	11.0215	2.4545	1.973
ENSMUSG00000024077	Strn	protein_coding	5.8853	5.4412	5.3443	5.844	14.9428	13.7256	13.4888	13.603	14.5786	23.3388	21.3906	12.461	9.3875	6.3948	8.1891	8.2681	5.3221	5.3931	4.982	5.9191	3.9323	4.5602	4.1942	3.8101	2.3673	1.969	2.2263	2.2155	1.9279	2.0725	1.9218	2.1014	4.9094	8.9538	8.956	9.1298	6.9587	7.3133	6.4714	7.6183	2.3574	1.2501	2.3161	1.7777	15.5463	17.5327	8.0188	6.3414	7.7153	6.2619	9.6667	9.4512	8.3911	7.8298	6.1216	5.0157	6.117	4.8874	6.2002	7.2515	13.0675	12.1091	12.5681	12.6517	9.227	7.9643	1.4908	2.3593
ENSMUSG00000024078	Ttc27	protein_coding	9.3159	9.3487	7.499	8.8024	5.389	6.3428	8.1888	6.9445	7.0912	5.6242	7.3031	6.7012	8.0485	5.053	5.6258	6.492	3.0149	3.3624	3.1048	3.1265	4.5317	3.7576	3.2056	4.1895	3.8928	4.6691	2.3724	4.7694	3.1583	3.9666	3.4805	3.4546	3.2923	5.188	5.4084	4.9171	4.7965	4.0606	4.7041	5.632	4.2338	4.2124	3.6934	3.9262	11.9226	11.6865	4.4099	4.4629	2.8582	2.9415	9.2216	8.6892	9.4001	8.2526	3.348	3.607	3.6607	3.756	16.8724	17.9148	8.0686	7.7575	9.3782	8.5513	7.9529	13.8388	3.521	4.4685
ENSMUSG00000024079	Eif2ak2	protein_coding	14.5588	16.3937	17.848	13.2213	1.4981	1.6262	2.0939	1.837	1.2049	1.9534	1.7443	1.7436	4.4419	8.5356	8.4964	7.1083	3.9259	4.2466	4.3321	6.0337	4.6828	5.4013	4.9942	5.0407	5.2488	7.5475	5.9055	5.6482	5.2817	4.8143	5.5314	4.9552	10.5361	14.1426	14.123	15.1471	12.3547	12.9815	14.4951	12.5889	3.1935	1.7549	3.4799	2.3813	12.5681	13.4094	13.5824	14.0642	17.2117	15.7487	13.8388	17.3887	15.1669	15.4144	6.7297	7.418	7.98	6.0046	6.4224	5.0003	12.66	10.3345	12.3838	9.6922	34.5098	14.4504	1.9017	3.7884
ENSMUSG00000024081	Cebpz	protein_coding	22.3806	20.0863	19.5093	17.1791	10.6566	11.4839	10.1058	10.9659	8.7858	9.8654	10.9797	11.0411	9.9994	9.7573	9.8123	10.4668	5.0071	4.7815	4.6203	4.883	9.8882	9.3194	8.5994	8.838	10.9779	11.551	10.4154	12.2883	10.6022	10.7208	9.4276	10.2161	6.8858	9.974	10.3387	10.5122	14.0459	12.386	13.8123	14.7183	6.9767	5.2075	5.4692	5.552	15.0531	19.1104	8.5681	9.5197	6.6859	6.2233	23.6154	22.0167	22.044	21.9194	10.242	7.2304	7.8994	8.3666	16.1701	16.4249	22.791	21.7305	21.2408	21.7205	14.7546	24.149	7.8036	9.5371
ENSMUSG00000024082	Ndufaf7	protein_coding	7.5322	9.5802	12.4418	13.223	13.5375	14.1309	15.2788	14.5357	14.2894	17.0896	14.9749	14.5182	7.7218	9.3736	8.0584	8.2374	8.1897	8.7007	8.8264	10.2002	12.224	13.157	13.1963	13.3408	3.6537	5.229	5.085	6.182	4.3352	4.5185	4.515	3.9885	7.6505	12.6327	11.8938	11.7584	9.242	9.1369	10.6441	9.7452	7.0018	8.9409	7.3598	7.6501	10.997	9.7029	6.0467	6.5287	6.6998	5.6257	6.9381	6.7248	7.0021	8.6011	8.5231	7.1376	9.3731	6.6046	18.5617	18.2878	6.814	6.9719	6.1152	7.6147	8.5644	12.7006	4.6879	6.087
ENSMUSG00000024083	Pja2	protein_coding	41.4483	40.4426	49.3599	42.8008	190.341	190.795	200.087	193.842	191.727	170.218	164.409	191.971	36.82	33.0472	37.3291	39.0231	37.2082	40.0113	38.7855	41.8714	21.5538	22.9626	21.0701	18.943	12.7783	10.7072	13.7729	12.6257	11.9755	12.0567	9.9919	11.3111	25.3847	34.433	36.373	35.2777	44.9946	44.1837	49.8504	51.6394	43.0618	41.0595	34.4986	40.2665	48.4503	45.7021	18.9401	22.5087	15.0525	17.4515	19.861	25.3514	20.3067	20.5203	30.5009	23.4027	31.502	22.7384	38.8267	36.7232	21.991	19.8714	20.932	23.0123	40.6491	47.2004	10.0819	21.3014
ENSMUSG00000024084	Qpct	protein_coding	3.5982	3.8176	4.4912	6.6371	8.8491	7.8509	7.4055	5.8769	7.2838	9.3918	10.8184	6.6527	13.0891	6.5827	9.7714	11.835	4.9951	3.5346	7.779	9.4814	0.9527	0.6272	1.3219	1.2541	10.8054	9.6963	10.5657	8.6428	6.0989	4.111	5.8514	6.072	8.3338	9.5842	8.4956	10.2392	13.9192	10.1379	11.5364	15.5752	15.1615	2.8247	7.9449	4.6906	6.0353	5.3825	3.2607	4.8363	3.4227	2.4562	2.6582	1.6243	1.2696	1.0786	3.4793	2.8806	2.5503	2.8764	32.8214	32.9292	2.1303	1.562	2.7646	1.1747	18.0409	16.6749	0.9298	2.0326
ENSMUSG00000024085	Man2a1	protein_coding	60.5571	54.3508	35.7403	38.677	4.7712	4.8453	4.2135	4.2987	3.9323	4.081	4.744	4.3218	13.2464	14.3245	12.2346	13.7539	8.5472	7.0069	8.3333	11.6384	24.4259	23.6222	22.9077	21.5268	37.5117	32.6511	33.582	32.4541	27.2872	37.3465	25.8004	35.9915	11.8625	15.7111	15.5573	17.3894	27.0527	23.8606	19.0798	20.6238	10.035	3.6519	6.6208	5.5017	19.0811	23.1398	16.0957	15.663	14.7106	13.5749	31.3328	31.135	28.9635	20.8226	14.0539	17.165	14.9904	14.9471	20.0299	19.6422	19.6332	17.111	17.7899	19.7387	17.9766	17.6565	18.6288	30.435
ENSMUSG00000024087	Cyp1b1	protein_coding	14.5492	13.4879	13.7845	13.6813	1.2465	1.138	0.8796	0.8707	0.7475	0.8461	1.4451	0.7766	7.5667	4.4271	6.2725	10.339	1.3643	0.9505	5.4799	4.4873	14.6552	9.1334	16.9373	17.0083	0.1499	0.0546	0.0896	0.0276	0.1591	0.2032	0.0282	0.0265	0.4622	0.0318	0.1779	0.1041	3.7442	2.2501	3.6408	2.7741	1.042	0.3565	0.6391	0.6621	70.5899	68.495	2.1396	1.801	1.5316	1.3317	25.5385	19.7204	29.4371	18.4602	4.0111	3.6911	2.8574	4.4072	4.8286	3.959	3.0572	3.5751	4.3032	2.3877	0.2781	0.2403	1.4953	3.1225
ENSMUSG00000024088	4930583I09Rik	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3586	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3445	0	0	0	0	0	0	0	0
ENSMUSG00000024091	Vapa	protein_coding	116.412	100.046	69.5087	78.8132	89.5455	82.0802	88.1739	81.6249	89.3256	92.7768	93.4052	90.7545	66.5673	68.065	65.0468	66.7948	39.4949	36.3877	40.1353	37.7603	58.9656	56.8621	54.5104	54.0904	40.9622	46.4039	39.0657	38.6312	36.1388	38.8142	41.7063	39.3036	64.3936	81.4094	80.9644	85.3602	96.687	77.943	75.0935	83.533	72.5733	72.5894	67.8915	75.1212	90.786	117.034	92.2918	96.914	94.725	108.771	62.8998	62.1199	54.9986	57.3705	74.5325	75.5747	96.1959	73.4109	82.6154	96.097	68.1105	66.4044	63.2021	65.1128	92.0208	68.4315	43.4813	48.5126
ENSMUSG00000024095	Hnrnpll	protein_coding	33.4259	32.2862	27.6627	25.9648	31.4633	32.7321	32.6548	30.8785	28.3847	32.4544	30.8523	33.9744	16.4921	15.2722	17.1488	17.9643	10.072	9.8149	11.3126	12.3748	17.5421	16.7639	15.8054	17.0709	12.9157	10.4176	11.4118	10.0419	8.4843	11.3865	8.1664	10.9819	15.1556	22.3793	28.0889	28.4661	33.2385	30.124	30.5702	30.7691	12.9982	10.2957	11.626	8.8561	43.8734	40.4635	20.1972	20.9368	16.4418	17.4916	17.5239	16.8904	19.5216	24.0681	14.4962	11.0955	15.3342	13.7413	81.4631	86.69	56.8484	58.3799	54.3446	56.1266	27.7005	49.8413	6.4324	12.7509
